computationTime, ioTime, zerosTime, assemblingTime, dirichletTime, sysTime
0.000174, 0.000109, 0.000010, 0.000038, 0.000006, 0.000129
0.000345, 0.000095, 0.000018, 0.000055, 0.000008, 0.000283
0.000607, 0.000145, 0.000032, 0.000072, 0.000010, 0.000524
0.002390, 0.000264, 0.000092, 0.000139, 0.000023, 0.002228
0.008521, 0.000202, 0.000141, 0.000115, 0.000022, 0.008385
0.448384, 0.000788, 0.002015, 0.000492, 0.000159, 0.447732
29.314206, 0.003352, 0.025337, 0.002788, 0.001256, 29.310161
