160,1,834
46,2,2957
27,5,885
122,4,539
834,1,879
84,3,352
103,7,2180
141,8,544
1,9,879
9,10,535
535,10,880
10,11,880
11,12,832
832,12,1264
12,13,1264
888,151,2207
1264,13,2125
14,15,1271
1271,15,1404
539,4,541
833,16,1321
16,17,1321
892,18,1463
18,19,1463
19,20,1222
1190,509,2138
783,21,1278
1278,22,1297
23,24,858
534,24,887
547,26,857
857,26,1434
5,28,540
540,28,861
28,29,861
29,30,546
30,31,537
32,33,517
517,33,1276
34,35,513
513,35,1456
1114,173,2186
35,36,1456
1242,307,2164
36,37,1217
1217,37,1442
65,6,853
889,39,1269
1269,40,1284
1284,41,2362
2362,42,2494
42,43,2494
1620,43,2892
1602,46,2957
2,47,1849
47,48,1252
766,49,1933
1933,49,2860
49,50,2860
51,52,1853
1853,52,2102
53,54,1396
1396,54,2176
55,56,811
1745,57,2105
57,58,2105
58,59,1201
59,60,809
809,60,2166
849,63,852
63,64,852
6,66,351
351,66,839
839,67,1373
67,68,1373
1235,200,1968
823,69,1353
69,70,1353
70,71,1316
1316,71,1823
1823,72,2165
72,73,2165
73,74,1668
1109,75,1804
1804,76,2216
76,77,2216
890,78,1218
78,79,1218
1218,79,1465
773,82,1262
352,3,876
3,85,876
874,352,876
86,87,510
510,87,2114
87,88,2114
88,89,828
828,89,1251
1251,90,1286
872,92,1447
542,94,875
94,95,875
854,96,878
97,98,355
355,98,877
98,99,877
808,251,1412
855,100,893
893,101,2047
101,102,2047
102,103,831
532,104,866
104,105,866
105,106,531
531,106,1193
1193,107,1840
108,109,827
827,109,1381
109,110,1381
110,111,812
829,113,2213
113,114,1258
1258,114,2021
114,115,2021
1238,116,1775
117,118,1408
116,117,1775
119,120,850
4,123,541
835,124,884
884,125,2206
125,126,2206
1188,884,2206
126,127,1457
127,128,1243
1243,128,1277
129,130,519
519,130,1418
130,131,1418
1169,134,1839
1154,280,2134
134,135,1839
135,136,1203
881,137,2084
137,138,2084
1220,496,2084
1282,139,2208
544,8,813
813,142,1383
142,143,1383
1383,143,2126
2130,144,2880
1289,146,2063
146,147,1398
149,150,354
354,150,888
150,151,888
152,153,796
796,153,2117
2117,153,2226
1295,154,1971
533,156,842
1889,161,2492
138,139,1443
82,83,1262
2581,162,3376
2454,589,3305
1408,118,2106
1606,175,2990
2606,165,2888
91,92,872
2482,166,3064
2330,164,3280
156,157,842
1858,218,2830
2277,166,3297
145,146,1289
1917,164,2851
121,122,353
2439,163,3253
749,172,1743
3107,167,3434
60,61,2166
2520,174,2991
2637,578,2655
788,331,2361
1081,199,2044
1209,165,3294
1616,163,2053
2262,205,2661
2541,168,3240
1239,284,2298
2410,180,2475
1619,402,3404
1721,163,3083
1677,171,2019
3201,180,3432
1702,161,2684
3069,183,3402
80,81,1210
3058,167,3197
2293,262,3134
2430,176,3234
2277,1495,3064
1131,171,1816
2393,165,3043
1287,169,1641
44,45,1584
1778,170,2846
132,133,767
24,25,887
2095,197,2218
1160,179,2094
111,112,545
1343,178,2181
157,158,841
1731,168,2541
1150,177,2071
2406,214,2510
2013,170,2694
2732,183,3069
2397,209,3320
1740,291,2668
1561,188,2926
1953,176,2430
1152,632,1944
1196,177,2152
1360,186,2239
1797,184,2659
93,94,542
2350,1494,3069
1657,187,3112
50,51,2140
1240,223,2565
2215,451,2725
1832,193,2462
1234,278,2529
2896,181,3239
1661,182,2766
844,201,2792
1763,274,2960
526,202,1870
1175,178,2182
518,203,860
2032,236,2238
1184,204,1436
2867,264,2988
2051,227,2473
61,62,1423
2973,207,3379
1629,1019,2652
2310,205,3188
2590,208,2680
1806,193,2938
1607,180,2459
1134,189,1827
1903,211,2004
1705,190,2813
794,169,1287
1256,192,3382
1176,185,2113
