Mesh Size,i3-370M,i5-4210U,i7-2630QM
2173,1.8316434625,2.1169568145,2.7220815105
3447,1.914561915,2.1544939519,2.800232423
6084,1.8650643828,1.6589168134,2.7160967353
13693,2.616423161,2.0681364385,2.711735391
