Mesh Size,i3-370M Serial,i3-370M Parallel,i5-4210U Parallel,i7-2630QM Parallel
25,0.00001,0.000007,0.000036,0.000006
33,0.000013,0.003206,0.000032,0.000005
41,0.000015,0.000005,0.000034,0.000005
75,0.000035,0.000011,0.000041,0.000006
144,0.000042,0.000017,0.000051,0.00001
544,0.000217,0.000105,0.000136,0.000045
2173,0.001667,0.000798,0.000538,0.000639
3447,0.003327,0.001593,0.00103,0.000587
6084,0.007782,0.00373,0.002519,0.001411
13693,0.026694,0.013636,0.009478,0.004924
