Mesh Size,i3-370M,i5-4210U,i7-2630QM
2173,2.0889724311,1.6988847584,1.4929577465
3447,2.0885122411,1.7766990291,3.272572402
6084,2.0863270777,1.9194124653,3.1176470588
13693,1.957612203,1.534817472,3.0087327376
