Mesh Size,i3-370M,i5-4210U,i7-2630QM
2173,0.2385518031,1.0328502415,0.2828996283
3447,0.2991637443,0.9873136695,0.2720707259
6084,0.3829159081,1.0126237269,0.2802547771
13693,0.5030529172,0.9250645995,0.287928373
