meshSize; computationTime; ioTime; zerosTime; assemblingTime; dirichletTime; gaussTime; backTime; computationTimeCPU; ioTimeCPU; zerosTimeCPU; assemblingTimeCPU; dirichletTimeCPU; gaussTimeCPU; backTimeCPU
25; 0.000271; 0.000115; 0.000028; 0.000065; 0.000011; 0.000183; 0.000008; 0.000271; 0.000110; 0.000028; 0.000065; 0.000011; 0.000184; 0.000008
33; 0.000505; 0.000141; 0.000025; 0.000080; 0.000012; 0.000398; 0.000012; 0.000505; 0.000141; 0.000024; 0.000080; 0.000012; 0.000398; 0.000012
41; 0.000894; 0.000145; 0.000024; 0.000111; 0.000020; 0.000742; 0.000017; 0.000895; 0.000144; 0.000024; 0.000112; 0.000021; 0.000742; 0.000017
75; 0.004681; 0.000263; 0.000081; 0.000202; 0.000035; 0.004375; 0.000065; 0.004665; 0.000263; 0.000081; 0.000202; 0.000035; 0.004359; 0.000065
144; 0.013238; 0.000549; 0.000324; 0.000419; 0.000107; 0.012640; 0.000067; 0.013198; 0.000549; 0.000325; 0.000419; 0.000108; 0.012601; 0.000067
